Wall time,Step,Value
1731546220.7955468,12819,0.0
1731546664.5270085,12862,0.0
1731547216.7750783,12940,0.0
1731547360.705354,12957,0.0
1731547540.9025178,12984,0.0
1731547672.9340785,13005,0.0
1731547769.498475,13017,0.0
1731547872.141669,13032,0.0
1731547905.2287571,13036,0.0
1731547988.9618347,13053,0.0
1731548241.1097438,13089,0.0
1731548516.3140502,13129,0.0
1731548733.5706306,13162,0.0
1731549410.8526838,13272,0.0
1731549796.4200244,13325,0.0
1731549817.4485693,13329,0.0
1731549964.5925155,13349,0.0
1731550414.4876876,13398,0.0
1731550587.847096,13427,0.0
1731550888.44401,13469,0.0
1731551242.4276469,13520,0.0
1731551393.7922034,13543,0.0
1731551872.946475,13602,0.0
1731551877.3786917,13605,0.0
1731552343.8223178,13670,0.0
1731552529.1992888,13699,0.0
1731552780.150377,13733,0.0
1731553041.2333808,13768,0.0
1731553203.4512384,13791,0.0
1731553311.364399,13807,0.0
1731553791.9476917,13880,0.0
1731553917.7870753,13899,0.0
1731554059.1569085,13921,0.0
1731554570.6252253,14003,0.0
1731555553.1016433,14144,0.0
1731555980.1278996,14210,0.0
1731556022.049485,14217,0.0
1731556067.2306535,14226,0.0
1731556172.197744,14243,0.0
1731556250.5984514,14255,0.0
1731556289.2693245,14261,0.0
1731556642.5191898,14320,0.0
1731556963.594639,14370,0.0
1731557302.1200888,14417,0.0
1731557525.5484126,14453,0.0
1731557708.1657784,14477,0.0
1731557744.5613103,14480,0.0
1731558302.6502972,14555,0.0
1731558338.6101344,14561,0.0
1731558501.7543995,14591,0.0
1731558561.6500945,14600,0.0
1731558577.9548604,14604,0.0
1731558629.160997,14610,0.0
1731559159.6232672,14702,0.0
1731559161.3567982,14703,0.0
1731559236.5061126,14711,1.0
1731559269.551422,14715,0.0
1731559397.627554,14732,0.0
1731559799.9781733,14796,0.0
1731559914.8866382,14815,0.0
1731560190.0230029,14849,0.0
1731560932.6777081,14950,0.0
1731561332.604309,15013,0.0
1731561599.8884943,15059,0.0
1731561856.63127,15103,0.0
1731561977.5181987,15122,0.0
1731562470.5176935,15189,0.0
1731562877.3607757,15247,0.0
1731563017.0122862,15270,0.0
1731563779.9417422,15396,0.0
1731563795.962163,15398,0.0
1731564018.437049,15430,0.0
1731564183.0734746,15461,0.0
1731564573.63143,15520,0.0
1731565555.4652069,15663,0.0
1731565707.1905627,15687,0.0
1731565736.2077253,15696,0.0
1731566071.2937381,15748,0.0
1731566097.5579405,15751,0.0
1731567075.9701424,15902,0.0
1731567175.7931647,15916,0.0
1731567824.794402,16018,0.0
1731567977.3058336,16039,0.0
1731568880.3640885,16172,0.0
1731569422.9806414,16244,0.0
1731569594.0833662,16266,0.0
1731569689.2611527,16283,0.0
1731570018.758531,16329,0.0
1731570214.0232863,16363,0.0
1731570793.6920063,16428,0.0
1731571274.3905025,16482,0.0
1731571449.2673714,16508,0.0
1731571483.6759386,16513,0.0
1731572040.1732283,16584,0.0
1731572344.0975733,16620,0.0
1731572661.4859018,16669,0.0
1731573105.8413513,16731,0.0
1731573113.601249,16732,0.0
1731573344.6599593,16766,0.0
1731573445.5838377,16780,0.0
1731573691.174163,16822,0.0
1731574742.144024,16989,0.0
1731574917.2116363,17020,0.0
1731575107.2940373,17054,0.0
1731575501.850965,17115,0.0
1731575553.6740012,17125,0.0
1731575772.4685094,17162,0.0
1731575814.2452836,17170,0.0
1731575986.6742902,17195,0.0
1731576111.175622,17213,0.0
1731576126.2887435,17215,0.0
1731576287.8428433,17238,0.0
1731576289.5842125,17239,0.0
1731576295.7293797,17240,0.0
1731576312.4130135,17243,0.0
1731576471.6536243,17262,0.0
1731576679.6280868,17297,0.0
1731576882.3827128,17328,0.0
1731577154.9097986,17367,0.0
1731577225.5689754,17377,0.0
1731577835.1760204,17466,0.0
1731577941.3319237,17480,0.0
1731578137.2604103,17509,0.0
1731578172.414231,17516,0.0
1731578183.3353412,17517,0.0
1731578348.5168395,17546,0.0
1731578575.5406575,17576,0.0
1731579085.2031054,17645,0.0
1731579392.5879245,17694,0.0
1731579634.9773395,17727,0.0
1731579918.7755382,17765,0.0
1731580697.6737845,17876,0.0
1731580843.8725026,17901,0.0
1731580857.0883338,17904,0.0
1731580910.9256349,17913,0.0
1731581106.5024507,17941,0.0
1731581359.6677487,17976,0.0
1731581431.5914223,17988,0.0
1731581867.0354946,18052,0.0
1731581956.742782,18069,0.0
1731582447.5885692,18137,0.0
1731582617.4640057,18159,0.0
1731582773.6780334,18187,0.0
1731583159.7560608,18241,0.0
1731584131.6325157,18374,0.0
1731584140.0728033,18375,0.0
1731584763.7896614,18470,0.0
1731585094.1286805,18515,0.0
1731585851.46104,18636,0.0
1731585913.2270784,18643,0.0
1731586716.6105154,18768,0.0
1731587017.9454682,18816,0.0
1731587451.6313086,18881,0.0
1731587566.2179585,18900,0.0
1731587615.5685873,18905,0.0
1731587789.0925684,18928,0.0
1731587912.6154673,18950,0.0
1731588063.8856146,18971,0.0
1731588421.6232486,19039,0.0
1731588790.7986014,19092,0.0
1731589186.1032763,19150,0.0
1731589479.904199,19194,0.0
1731589669.8857944,19223,0.0
1731591003.986786,19408,0.0
1731591081.519237,19423,0.0
1731591101.2932055,19426,0.0
1731591244.7824385,19448,0.0
1731591274.7765243,19454,0.0
1731591617.9243863,19502,0.0
1731591740.946655,19517,0.0
1731592027.9581227,19563,0.0
1731592116.2233799,19577,0.0
1731592172.2742248,19588,0.0
1731592556.6715503,19643,0.0
1731592635.7257485,19654,0.0
1731592672.986101,19660,0.0
1731593081.588834,19719,0.0
1731593241.9527204,19746,0.0
1731593388.8567698,19769,0.0
1731593816.257397,19839,0.0
1731593956.0009263,19861,0.0
1731594195.3015606,19894,0.0
1731594330.9515202,19911,0.0
1731594374.123323,19918,0.0
1731594684.7222514,19958,0.0
1731594799.1464415,19971,0.0
1731594834.529101,19976,0.0
1731594870.4401133,19982,0.0
1731594908.662227,19985,0.0
1731596607.742079,20060,0.0
1731596624.1940033,20061,0.0
1731596643.5780172,20063,0.0
1731597065.342517,20108,0.0
1731597365.3456182,20139,0.0
1731597616.65766,20166,0.0
1731597636.6379533,20169,0.0
1731597667.7962468,20174,0.0
1731598155.668572,20230,0.0
1731598262.4415061,20245,0.0
1731598331.7448874,20254,0.0
1731598342.9988225,20256,0.0
1731598646.562731,20305,0.0
1731599117.9161873,20362,0.0
1731599440.426156,20407,0.0
1731599906.1812701,20448,0.0
1731600066.4716277,20461,0.0
1731600076.6329024,20462,0.0
1731600289.4705083,20484,0.0
1731600340.7151434,20489,0.0
